Date,Dataset,Test,Threads,Execution time
24-08-2018 23:44,DS1,distill,0,6:23.59
24-08-2018 23:44,DS1,distributions,0,6:24.40
24-08-2018 23:57,DS1,distill,1,7:09.59
24-08-2018 23:57,DS1,distributions,1,6:16.36
25-08-2018 00:10,DS1,distill,2,3:06.82
25-08-2018 00:10,DS1,distributions,2,3:22.38
25-08-2018 00:17,DS1,distill,4,1:34.02
25-08-2018 00:17,DS1,distributions,4,2:03.13
25-08-2018 00:20,DS1,distill,8,1:08.16
25-08-2018 00:20,DS1,distributions,8,1:32.27
25-08-2018 00:23,DS1,distill,16,1:14.17
25-08-2018 00:23,DS1,distributions,16,1:33.67
25-08-2018 00:26,DS1,distill,0,1:53:32
26-08-2018 01:14,DS3,distill,0,6651.28
26-08-2018 03:05,DS3,distributions,0,3577.63
26-08-2018 04:07,DS3,distill,1,12031.87
26-08-2018 07:27,DS3,distributions,1,3605.72
26-08-2018 08:30,DS3,distill,2,4430.37
26-08-2018 09:44,DS3,distributions,2,1850.25
26-08-2018 10:17,DS3,distill,4,3340.76
26-08-2018 11:13,DS3,distributions,4,1068.12
26-08-2018 11:33,DS3,distill,8,3051.78
26-08-2018 12:24,DS3,distributions,8,736.96
26-08-2018 12:38,DS3,distill,16,2784.89
26-08-2018 13:25,DS3,distributions,16,741.09
26-08-2018 14:43,DS2,distill,0,1488.99
26-08-2018 15:08,DS2,distributions,0,857.61
26-08-2018 15:22,DS2,distill,1,1581.05
26-08-2018 15:49,DS2,distributions,1,872.05
26-08-2018 16:03,DS2,distill,2,717.73
26-08-2018 16:15,DS2,distributions,2,455.07
26-08-2018 16:23,DS2,distill,4,513.84
26-08-2018 16:32,DS2,distributions,4,264.04
26-08-2018 16:37,DS2,distill,8,448.79
26-08-2018 16:44,DS2,distributions,8,189.87
26-08-2018 16:48,DS2,distill,16,375.62
26-08-2018 16:54,DS2,distributions,16,193.32
26-08-2018 16:57,DS4,distill,0,3418.10
26-08-2018 17:54,DS4,distributions,0,1929.70
26-08-2018 18:27,DS4,distill,1,4425.76
26-08-2018 19:41,DS4,distributions,1,1959.62
26-08-2018 20:14,DS4,distill,2,2605.05
26-08-2018 20:58,DS4,distributions,2,1017.20
26-08-2018 21:16,DS4,distill,4,1805.23
26-08-2018 21:46,DS4,distributions,4,577.23
26-08-2018 21:56,DS4,distill,8,1577.70
26-08-2018 22:23,DS4,distributions,8,406.88
26-08-2018 22:30,DS4,distill,16,1486.74
26-08-2018 22:55,DS4,distributions,16,411.86
